20250201 11:13:56.089, boat_speed_nm=0.0
, depth_m=0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0
, deviation_dir=0
, variation_deg=0
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220058.5
, wind_angle_rel=35.95
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.35
, wind_angle_relative=36
, wind_speed_kn=4.4
20250201 11:27:46.084, boat_speed_nm=0.0
, depth_m=0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0
, deviation_dir=0
, variation_deg=0
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220058.5
, wind_angle_rel=35.95
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.35
, wind_angle_relative=36
, wind_speed_kn=4.4
20250201 11:35:09.663, boat_speed_nm=0.0
, depth_m=0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0
, deviation_dir=0
, variation_deg=0
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220058.5
, wind_angle_rel=35.95
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.35
, wind_angle_relative=36
, wind_speed_kn=4.4
20250201 11:35:09.664, boat_speed_nm=0.0
, depth_m=0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220059.5
, wind_angle_rel=35.95
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.35
, wind_angle_relative=0.0
, wind_speed_kn=4.3
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.665, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220059.5
, wind_angle_rel=36.28
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.32
, wind_angle_relative=0.0
, wind_speed_kn=4.3
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.666, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220059.5
, wind_angle_rel=36.61
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.3
, wind_angle_relative=0.0
, wind_speed_kn=4.3
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.668, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220059.5
, wind_angle_rel=36.61
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.3
, wind_angle_relative=0.0
, wind_speed_kn=4.3
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.669, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220059.5
, wind_angle_rel=36.9
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.32
, wind_angle_relative=0.0
, wind_speed_kn=4.3
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.670, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220059.5
, wind_angle_rel=36.9
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.32
, wind_angle_relative=0.0
, wind_speed_kn=4.3
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.671, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220059.5
, wind_angle_rel=37.24
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.33
, wind_angle_relative=0.0
, wind_speed_kn=4.3
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.672, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220059.5
, wind_angle_rel=37.24
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.33
, wind_angle_relative=0.0
, wind_speed_kn=4.3
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.674, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220100.5
, wind_angle_rel=37.63
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.41
, wind_angle_relative=0.0
, wind_speed_kn=4.4
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.675, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220100.5
, wind_angle_rel=38.07
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.47
, wind_angle_relative=0.0
, wind_speed_kn=4.5
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.676, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220100.5
, wind_angle_rel=38.07
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.47
, wind_angle_relative=0.0
, wind_speed_kn=4.5
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.677, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220100.5
, wind_angle_rel=38.55
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.55
, wind_angle_relative=0.0
, wind_speed_kn=4.6
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.679, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220100.5
, wind_angle_rel=38.55
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.55
, wind_angle_relative=0.0
, wind_speed_kn=4.6
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.680, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220100.5
, wind_angle_rel=39.08
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.65
, wind_angle_relative=0.0
, wind_speed_kn=4.7
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.681, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220100.5
, wind_angle_rel=39.08
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.65
, wind_angle_relative=0.0
, wind_speed_kn=4.7
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.682, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220100.5
, wind_angle_rel=39.58
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.74
, wind_angle_relative=0.0
, wind_speed_kn=4.7
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.684, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
, heading_true=0.0
, latitude=44.65252333333333
, longitude=-63.472238333333344
, gpgll_time=220100.5
, wind_angle_rel=39.58
, wind_speed_true_nm=0
, wind_dir_ref=R
, wind_speed_apparent_nm=0
, wind_speed_units=N
, wind_ref=R
, wind_speed_nm=4.74
, wind_angle_relative=0.0
, wind_speed_kn=4.7
, deviation_ref=0.0
, variation_ref=W*26
20250201 11:35:09.685, boat_speed_nm=0.0
, depth_m=0.0
, turnrate_deg=0
, heading_mag=43
, deviation_deg=0.0
, deviation_dir=0
, variation_deg=16.3
, variation_dir=0
